roll,name,email,enrolled,exam1,exam2,exam3,exam4
29,VivaanPatel,VivaanPatel@sal.edu.in,28-03-2026,28,46,39,39
30,MeeraMori,MeeraMori@sal.edu.in,16-02-2026,50,74,46,24
31,MeeraShah,MeeraShah@mail.codetrade.io,16-06-2026,84,16,26,45
32,RohanKumar,RohanKumar@sal.edu.in,04-05-2026,42,66,22,36
33,KrishnaPatel,KrishnaPatel@sal.edu.in,09-03-2026,73,51,69,86
34,MeeraMori,MeeraMori@gmail.com,17-03-2026,42,22,89,84
35,AaravGupta,AaravGupta@mail.codetrade.io,13-01-2026,89,76,79,82
36,RohanPatel,RohanPatel@mail.codetrade.io,17-02-2026,23,91,23,45
37,KrishnaShah,KrishnaShah@gmail.com,29-05-2026,91,20,94,25
38,KrishnaGupta,KrishnaGupta@yahoo.com,22-02-2026,100,55,45,48
39,KrishnaMori,KrishnaMori@yahoo.com,28-04-2026,55,24,16,73
40,VivaanShah,VivaanShah@gmail.com,10-05-2026,48,31,59,23
41,PriyaGupta,PriyaGupta@yahoo.com,10-02-2026,71,84,53,93
42,AaravJoshi,AaravJoshi@mail.codetrade.io,04-02-2026,48,29,28,85
43,RohanJoshi,RohanJoshi@yahoo.com,04-06-2026,41,58,41,96
44,AnanyaMehta,AnanyaMehta@yahoo.com,14-01-2026,26,96,69,50
45,AaravPatel,AaravPatel@yahoo.com,03-02-2026,96,48,35,71
46,KrishnaPatel,KrishnaPatel@mail.codetrade.io,20-01-2026,34,84,19,62
47,RohanKumar,RohanKumar@gmail.com,11-01-2026,54,61,20,60
48,PriyaSingh,PriyaSingh@mail.codetrade.io,01-04-2026,86,67,94,34
49,PriyaMori,PriyaMori@gmail.com,16-04-2026,18,37,57,67
50,PriyaJoshi,PriyaJoshi@gmail.com,29-06-2026,28,63,19,75
51,PriyaSingh,PriyaSingh@sal.edu.in,31-03-2026,54,44,43,18
52,PriyaKumar,PriyaKumar@yahoo.com,13-03-2026,23,50,59,97
53,KrishnaGupta,KrishnaGupta@mail.codetrade.io,30-01-2026,48,37,89,48
54,AaravShah,AaravShah@sal.edu.in,30-03-2026,55,70,92,80
55,VivaanKumar,VivaanKumar@gmail.com,07-03-2026,20,70,15,81
56,PriyaGupta,PriyaGupta@sal.edu.in,18-01-2026,100,57,94,55
57,VivaanJoshi,VivaanJoshi@yahoo.com,20-06-2026,67,56,66,52
58,RohanSingh,RohanSingh@sal.edu.in,20-06-2026,63,37,93,87
59,AnanyaKumar,AnanyaKumar@mail.codetrade.io,19-03-2026,51,41,70,89
60,DiyaMehta,DiyaMehta@sal.edu.in,24-04-2026,42,80,75,36
61,VivaanJoshi,VivaanJoshi@yahoo.com,24-01-2026,45,54,43,40
62,RohanPatel,RohanPatel@mail.codetrade.io,04-03-2026,75,93,24,73
63,KrishnaSingh,KrishnaSingh@sal.edu.in,07-05-2026,66,46,33,98
64,AaravShah,AaravShah@sal.edu.in,26-02-2026,37,81,74,21
65,PriyaShah,PriyaShah@sal.edu.in,04-02-2026,74,100,82,86
66,DiyaMehta,DiyaMehta@sal.edu.in,21-05-2026,72,35,75,72
67,AnanyaSingh,AnanyaSingh@yahoo.com,14-05-2026,77,95,45,50
68,MeeraShah,MeeraShah@yahoo.com,02-03-2026,49,57,55,84
69,VivaanMori,VivaanMori@gmail.com,01-03-2026,64,34,42,23
70,KrishnaKumar,KrishnaKumar@yahoo.com,19-05-2026,74,68,22,41
71,KrishnaKumar,KrishnaKumar@mail.codetrade.io,28-05-2026,63,76,15,60
72,AnanyaKumar,AnanyaKumar@sal.edu.in,18-05-2026,84,92,43,77
73,PriyaJoshi,PriyaJoshi@sal.edu.in,05-05-2026,18,64,58,100
74,KrishnaMori,KrishnaMori@sal.edu.in,02-02-2026,94,83,18,65
75,AaravShah,AaravShah@sal.edu.in,04-02-2026,74,38,21,48
76,KrishnaGupta,KrishnaGupta@gmail.com,27-04-2026,56,58,63,50
77,KrishnaJoshi,KrishnaJoshi@mail.codetrade.io,01-05-2026,17,84,21,59
78,PriyaShah,PriyaShah@mail.codetrade.io,08-01-2026,46,40,17,94
79,RohanSingh,RohanSingh@gmail.com,02-05-2026,100,29,87,42
80,MeeraJoshi,MeeraJoshi@yahoo.com,12-02-2026,92,92,29,35
81,AnanyaShah,AnanyaShah@mail.codetrade.io,21-03-2026,88,63,65,40
82,VivaanSingh,VivaanSingh@mail.codetrade.io,28-06-2026,53,91,30,87
83,AaravGupta,AaravGupta@sal.edu.in,19-06-2026,62,23,79,97
84,DiyaPatel,DiyaPatel@sal.edu.in,06-05-2026,28,70,61,96
85,MeeraMori,MeeraMori@sal.edu.in,15-02-2026,81,98,49,93
86,MeeraMehta,MeeraMehta@sal.edu.in,01-06-2026,49,56,46,26
87,AnanyaMehta,AnanyaMehta@gmail.com,29-04-2026,87,93,100,63
88,DiyaPatel,DiyaPatel@sal.edu.in,25-03-2026,38,77,42,60
89,AnanyaGupta,AnanyaGupta@yahoo.com,02-06-2026,50,86,16,81
90,PriyaShah,PriyaShah@gmail.com,15-04-2026,77,86,45,75
91,MeeraMehta,MeeraMehta@mail.codetrade.io,24-01-2026,52,43,66,46
92,AnanyaGupta,AnanyaGupta@sal.edu.in,22-05-2026,82,59,69,85
93,DiyaGupta,DiyaGupta@sal.edu.in,11-03-2026,54,47,44,30
94,PriyaGupta,PriyaGupta@mail.codetrade.io,18-05-2026,38,39,42,76
95,AnanyaJoshi,AnanyaJoshi@mail.codetrade.io,19-02-2026,52,44,61,37
96,AnanyaPatel,AnanyaPatel@gmail.com,12-03-2026,20,21,85,52
97,RohanMehta,RohanMehta@mail.codetrade.io,04-01-2026,88,51,75,76
98,MeeraGupta,MeeraGupta@gmail.com,14-01-2026,47,76,29,23
99,KrishnaMehta,KrishnaMehta@mail.codetrade.io,28-05-2026,95,21,34,34
100,AnanyaShah,AnanyaShah@gmail.com,31-01-2026,86,68,92,91
101,PriyaKumar,PriyaKumar@sal.edu.in,24-04-2026,53,90,69,54
102,AaravShah,AaravShah@gmail.com,10-06-2026,42,48,99,25
103,RohanSingh,RohanSingh@gmail.com,22-05-2026,24,35,15,67
104,MeeraMehta,MeeraMehta@yahoo.com,09-01-2026,44,51,51,73
105,VivaanSingh,VivaanSingh@yahoo.com,10-06-2026,90,99,40,69
106,VivaanSingh,VivaanSingh@gmail.com,10-03-2026,33,24,22,36
107,AnanyaJoshi,AnanyaJoshi@sal.edu.in,01-02-2026,74,53,66,49
108,MeeraMehta,MeeraMehta@mail.codetrade.io,03-06-2026,20,70,56,92
109,AnanyaPatel,AnanyaPatel@mail.codetrade.io,28-02-2026,88,90,17,49
110,AaravMori,AaravMori@sal.edu.in,13-05-2026,98,71,50,38
111,KrishnaMehta,KrishnaMehta@mail.codetrade.io,01-05-2026,59,67,57,56
112,VivaanMori,VivaanMori@yahoo.com,16-04-2026,78,51,99,66
113,AaravMehta,AaravMehta@mail.codetrade.io,22-03-2026,47,56,29,66
114,AaravMehta,AaravMehta@sal.edu.in,14-01-2026,39,81,61,94
115,MeeraMehta,MeeraMehta@mail.codetrade.io,22-02-2026,49,85,31,51
116,MeeraMehta,MeeraMehta@mail.codetrade.io,08-01-2026,95,92,45,35
117,AnanyaPatel,AnanyaPatel@sal.edu.in,24-01-2026,43,29,74,30
118,RohanMehta,RohanMehta@yahoo.com,11-05-2026,49,68,76,75
119,PriyaMehta,PriyaMehta@gmail.com,09-04-2026,39,91,80,32
120,VivaanJoshi,VivaanJoshi@sal.edu.in,29-03-2026,79,49,15,51
121,AnanyaMehta,AnanyaMehta@gmail.com,25-04-2026,83,76,59,57
122,KrishnaMehta,KrishnaMehta@yahoo.com,18-02-2026,45,88,64,44
123,KrishnaPatel,KrishnaPatel@yahoo.com,02-05-2026,63,64,99,98
124,RohanMehta,RohanMehta@mail.codetrade.io,02-02-2026,79,90,57,27
125,MeeraShah,MeeraShah@sal.edu.in,04-01-2026,33,67,98,34
126,VivaanMehta,VivaanMehta@yahoo.com,28-03-2026,94,65,98,25
127,DiyaKumar,DiyaKumar@yahoo.com,10-06-2026,77,84,19,94
128,VivaanSingh,VivaanSingh@yahoo.com,28-02-2026,26,70,27,96
129,VivaanMehta,VivaanMehta@gmail.com,27-06-2026,53,18,20,56
130,AaravJoshi,AaravJoshi@yahoo.com,06-04-2026,70,33,46,82
131,KrishnaMori,KrishnaMori@gmail.com,14-02-2026,25,93,63,94
132,PriyaMehta,PriyaMehta@gmail.com,01-03-2026,74,96,47,73
133,AnanyaPatel,AnanyaPatel@sal.edu.in,15-03-2026,84,35,24,71
134,DiyaJoshi,DiyaJoshi@sal.edu.in,26-06-2026,47,73,53,40
135,KrishnaMehta,KrishnaMehta@mail.codetrade.io,02-03-2026,63,88,60,88
136,AnanyaJoshi,AnanyaJoshi@mail.codetrade.io,18-06-2026,65,50,16,87
137,AaravMehta,AaravMehta@yahoo.com,28-02-2026,92,60,43,96
138,PriyaJoshi,PriyaJoshi@gmail.com,10-06-2026,27,95,97,20
139,AnanyaMehta,AnanyaMehta@mail.codetrade.io,29-05-2026,61,31,26,52
140,DiyaKumar,DiyaKumar@gmail.com,21-02-2026,31,84,61,82
141,AnanyaMori,AnanyaMori@yahoo.com,04-05-2026,52,58,29,74
142,VivaanMori,VivaanMori@gmail.com,23-06-2026,65,86,61,26
143,KrishnaPatel,KrishnaPatel@yahoo.com,18-05-2026,30,73,62,48
144,KrishnaGupta,KrishnaGupta@mail.codetrade.io,22-06-2026,44,75,18,94
145,DiyaSingh,DiyaSingh@mail.codetrade.io,12-06-2026,74,53,98,67
146,VivaanMori,VivaanMori@mail.codetrade.io,10-01-2026,53,78,29,27
147,PriyaMori,PriyaMori@sal.edu.in,27-04-2026,62,100,84,68
148,RohanKumar,RohanKumar@mail.codetrade.io,06-05-2026,93,67,50,19
149,DiyaSingh,DiyaSingh@sal.edu.in,24-04-2026,45,61,27,62
150,DiyaPatel,DiyaPatel@sal.edu.in,12-03-2026,39,30,73,26
151,PriyaPatel,PriyaPatel@mail.codetrade.io,27-03-2026,46,31,87,41
152,VivaanSingh,VivaanSingh@gmail.com,01-03-2026,57,33,91,15
153,AnanyaMori,AnanyaMori@gmail.com,19-05-2026,47,37,29,99
154,AaravMori,AaravMori@mail.codetrade.io,02-04-2026,45,90,56,17
155,RohanJoshi,RohanJoshi@mail.codetrade.io,02-02-2026,68,82,29,23
156,MeeraMehta,MeeraMehta@yahoo.com,12-05-2026,90,28,72,79
157,PriyaPatel,PriyaPatel@yahoo.com,28-04-2026,97,18,22,76
158,KrishnaKumar,KrishnaKumar@mail.codetrade.io,06-05-2026,71,24,25,56
159,RohanShah,RohanShah@gmail.com,12-03-2026,94,96,89,85
160,DiyaKumar,DiyaKumar@yahoo.com,27-04-2026,79,92,70,27
161,VivaanSingh,VivaanSingh@sal.edu.in,26-04-2026,44,67,58,73
162,KrishnaKumar,KrishnaKumar@mail.codetrade.io,22-03-2026,69,55,100,47
163,DiyaMori,DiyaMori@sal.edu.in,18-01-2026,26,25,26,70
164,VivaanGupta,VivaanGupta@gmail.com,23-05-2026,22,90,86,86
165,DiyaShah,DiyaShah@sal.edu.in,01-04-2026,100,69,21,51
166,AnanyaGupta,AnanyaGupta@mail.codetrade.io,28-05-2026,79,42,34,99
167,MeeraSingh,MeeraSingh@mail.codetrade.io,31-03-2026,86,62,29,50
168,PriyaKumar,PriyaKumar@mail.codetrade.io,05-06-2026,99,49,18,38
169,AnanyaJoshi,AnanyaJoshi@yahoo.com,31-03-2026,15,38,33,87
170,KrishnaShah,KrishnaShah@gmail.com,12-06-2026,18,26,82,42
171,KrishnaKumar,KrishnaKumar@sal.edu.in,29-03-2026,35,62,54,56
172,VivaanPatel,VivaanPatel@gmail.com,10-02-2026,94,21,25,49
173,MeeraKumar,MeeraKumar@sal.edu.in,05-06-2026,71,68,49,42
174,VivaanGupta,VivaanGupta@sal.edu.in,29-01-2026,51,90,77,82
175,AnanyaPatel,AnanyaPatel@gmail.com,12-04-2026,91,22,15,41
176,AnanyaSingh,AnanyaSingh@gmail.com,07-03-2026,52,56,30,15
177,MeeraKumar,MeeraKumar@gmail.com,03-02-2026,63,83,44,79
178,DiyaShah,DiyaShah@sal.edu.in,11-01-2026,70,17,73,24
179,DiyaKumar,DiyaKumar@sal.edu.in,13-06-2026,68,52,29,66
180,AaravGupta,AaravGupta@gmail.com,08-06-2026,73,61,26,70
181,VivaanSingh,VivaanSingh@sal.edu.in,31-05-2026,66,82,25,65
182,AnanyaGupta,AnanyaGupta@gmail.com,27-03-2026,36,24,80,96
183,VivaanSingh,VivaanSingh@yahoo.com,31-03-2026,97,33,45,28
184,RohanJoshi,RohanJoshi@gmail.com,14-02-2026,92,34,98,24
185,RohanMehta,RohanMehta@sal.edu.in,25-05-2026,89,72,87,97
186,DiyaGupta,DiyaGupta@gmail.com,23-04-2026,23,75,71,95
187,AnanyaJoshi,AnanyaJoshi@mail.codetrade.io,01-04-2026,79,24,54,74
188,MeeraPatel,MeeraPatel@mail.codetrade.io,05-04-2026,51,24,97,26
189,KrishnaMehta,KrishnaMehta@mail.codetrade.io,26-04-2026,88,98,39,56
190,MeeraMori,MeeraMori@mail.codetrade.io,26-04-2026,28,58,25,79
191,RohanPatel,RohanPatel@gmail.com,23-04-2026,71,82,81,93
192,RohanGupta,RohanGupta@yahoo.com,14-03-2026,64,67,58,91
193,AaravGupta,AaravGupta@mail.codetrade.io,26-03-2026,27,86,64,51
194,AnanyaMori,AnanyaMori@yahoo.com,21-01-2026,89,99,33,59
195,AnanyaKumar,AnanyaKumar@gmail.com,02-06-2026,25,54,86,63
196,DiyaMori,DiyaMori@mail.codetrade.io,15-06-2026,100,69,80,61
197,AaravGupta,AaravGupta@yahoo.com,16-02-2026,42,58,77,39
198,PriyaMori,PriyaMori@gmail.com,20-01-2026,52,27,79,84
199,AaravGupta,AaravGupta@gmail.com,02-06-2026,63,34,35,38
200,RohanMehta,RohanMehta@mail.codetrade.io,16-04-2026,61,45,71,93
